Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"03 Jan 2024"
"All datapoints provided as of end of last active trading day."
"2020 BULKERS";BMG9156K1018;2020;"Oslo Børs";NOK;122,70;126,50;122,70;126,50;"02/01/2024 16:25";CET;162764;20367052,30;126,50;02/01/2024
"5TH PLANET GAMES";DK0060945467;5PG;"Euronext Expand Oslo";NOK;2,01;2,085;2,01;2,025;"02/01/2024 14:19";CET;68773;139236,61;2,025;02/01/2024
"AASEN SPAREBANK";NO0010672181;AASB;"Euronext Growth Oslo";NOK;127,00;127,00;127,00;127,00;"02/01/2024 10:25";CET;39;4953,00;127,00;02/01/2024
"ABG SUNDAL COLLIER";NO0003021909;ABG;"Oslo Børs";NOK;6,75;6,84;6,72;6,75;"02/01/2024 16:25";CET;412479;1389149,94;6,75;02/01/2024
"ABL GROUP";NO0010715394;ABL;"Oslo Børs";NOK;12,75;12,90;12,75;12,90;"02/01/2024 16:25";CET;5504;70203,85;12,90;02/01/2024
ADEVINTA;NO0010844038;ADE;"Oslo Børs";NOK;112,40;112,50;111,90;112,00;"02/01/2024 16:25";CET;1290596;144634112,20;112,00;02/01/2024
"ADS MARITIME HOLD";CY0108052115;ADS;"Euronext Growth Oslo";NOK;1,98;2,10;1,98;2,02;"02/01/2024 14:41";CET;38297;77116,90;2,02;02/01/2024
AEGA;NO0012958539;AEGA;"Euronext Expand Oslo";NOK;2,14;2,29;2,12;2,288;"02/01/2024 14:02";CET;34186;74115,11;2,288;02/01/2024
"AF GRUPPEN";NO0003078107;AFG;"Oslo Børs";NOK;123,80;125,60;121,80;122,80;"02/01/2024 16:25";CET;20010;2470616,60;122,80;02/01/2024
AGILYX;NO0010872468;AGLX;"Oslo Børs";NOK;24,00;24,15;21,45;22,35;"02/01/2024 16:25";CET;66986;1504103,20;22,35;02/01/2024
AIRTHINGS;NO0010895568;AIRX;"Oslo Børs";NOK;2,945;3,035;2,855;3,035;"02/01/2024 15:14";CET;132862;387768,44;3,035;02/01/2024
AKASTOR;NO0010215684;AKAST;"Oslo Børs";NOK;11,86;11,86;11,26;11,30;"02/01/2024 16:25";CET;130722;1492598,46;11,30;02/01/2024
AKER;NO0010234552;AKER;"Oslo Børs";NOK;662,50;671,00;656,50;660,50;"02/01/2024 16:25";CET;31836;21058156,00;660,50;02/01/2024
"AKER BIOMARINE";NO0010886625;AKBM;"Oslo Børs";NOK;45,00;46,00;44,65;44,85;"02/01/2024 16:25";CET;3006;136374,80;44,85;02/01/2024
"AKER BP";NO0010345853;AKRBP;"Oslo Børs";NOK;298,80;302,20;297,30;298,50;"02/01/2024 16:26";CET;855853;256107464,00;298,50;02/01/2024
"AKER CARBON CAPTUR";NO0010890304;ACC;"Oslo Børs";NOK;13,40;13,62;12,72;12,73;"02/01/2024 16:25";CET;746081;9637037,13;12,73;02/01/2024
"AKER HORIZONS";NO0010921232;AKH;"Oslo Børs";NOK;4,362;4,426;4,13;4,136;"02/01/2024 16:25";CET;5940559;24985955,00;4,136;02/01/2024
"AKER SOLUTIONS";NO0010716582;AKSO;"Oslo Børs";NOK;41,78;42,54;41,78;42,38;"02/01/2024 16:25";CET;894489;37843506,44;42,38;02/01/2024
"AKOBO MINERALS";SE0015193412;AKOBO;"Euronext Growth Oslo";NOK;4,29;4,70;3,70;3,70;"02/01/2024 14:58";CET;20486;77369,43;3,70;02/01/2024
"AKVA GROUP";NO0003097503;AKVA;"Oslo Børs";NOK;58,20;59,80;58,20;59,80;"02/01/2024 16:25";CET;1091;65071,40;59,80;02/01/2024
"ALTERNUS ENERGY GR";IE00BLRPRP89;ALT;"Euronext Growth Oslo";NOK;11,50;11,90;10,05;11,00;"02/01/2024 16:25";CET;128950;1411119,45;11,00;02/01/2024
AMSC;NO0010272065;AMSC;"Oslo Børs";NOK;26,95;27,05;26,35;26,35;"02/01/2024 16:25";CET;49411;1313994,80;26,35;02/01/2024
"ANDFJORD SALMON";NO0010829765;ANDF;"Euronext Growth Oslo";NOK;28,50;29,00;28,50;29,00;"02/01/2024 16:25";CET;177801;5839730,40;29,00;02/01/2024
"AQUA BIO TECHNO";NO0010307135;ABTEC;"Euronext Expand Oslo";NOK;3,42;3,55;3,24;3,38;"02/01/2024 16:03";CET;133238;445159,84;3,38;02/01/2024
"AQUILA HOLDINGS";NO0010778095;AQUIL;"Euronext Expand Oslo";NOK;0,91;0,96;0,91;0,96;"02/01/2024 16:25";CET;37512;35531,52;0,96;02/01/2024
ARCHER;BMG0451H1170;ARCH;"Oslo Børs";NOK;0,888;0,892;0,848;0,848;"02/01/2024 16:25";CET;5698562;4904172,14;0,848;02/01/2024
"ARCTIC BIOSCIENCE";NO0010859580;ABS;"Euronext Growth Oslo";NOK;10,00;11,15;10,00;11,00;"02/01/2024 11:01";CET;39838;438974,45;11,00;02/01/2024
"ARCTIC FISH HOLDIN";NO0010917719;AFISH;"Euronext Growth Oslo";NOK;64,00;64,00;60,00;60,50;"02/01/2024 13:56";CET;2649;168776,00;60,50;02/01/2024
"ARCTICZYMES TECHNO";NO0010014632;AZT;"Oslo Børs";NOK;42,10;43,00;41,75;42,75;"02/01/2024 16:25";CET;33258;1407913,85;42,75;02/01/2024
"ARENDALS FOSSEKOMP";NO0003572802;AFK;"Oslo Børs";NOK;165,00;167,00;160,60;165,60;"02/01/2024 16:25";CET;35930;5860210,60;165,60;02/01/2024
ARGEO;NO0010946593;ARGEO;"Euronext Growth Oslo";NOK;3,85;4,07;3,79;4,07;"02/01/2024 16:26";CET;1902963;7519907,78;4,07;02/01/2024
"ARRIBATEC GROUP";NO0012861667;ARR;"Oslo Børs";NOK;4,45;4,60;4,45;4,5995;"02/01/2024 15:04";CET;57136;260680,31;4,5995;02/01/2024
ASETEK;DK0060477263;ASTK;"Oslo Børs";NOK;5,70;6,24;5,68;6,10;"02/01/2024 16:25";CET;174564;1071376,82;6,10;02/01/2024
ASTROCAST;CH1122548808;ASTRO;"Euronext Growth Oslo";NOK;1,48;1,48;1,36;1,36;"02/01/2024 14:33";CET;4590;6291,60;1,36;02/01/2024
ATEA;NO0004822503;ATEA;"Oslo Børs";NOK;130,40;131,00;125,80;127,00;"02/01/2024 16:25";CET;88752;11327627,80;127,00;02/01/2024
"ATLANTIC SAPPHIRE";NO0010768500;ASA;"Oslo Børs";NOK;1,65;1,738;1,60;1,692;"02/01/2024 16:25";CET;1484418;2490074,53;1,692;02/01/2024
"AURORA EIENDOM";NO0011032310;AURA;"Euronext Growth Oslo";NOK;80,00;84,00;75,00;82,00;"22/12/2023 16:25";CET;639;50845,00;82,00;02/01/2024
"AURSKOG SPAREBANK";NO0006001601;AURG;"Oslo Børs";NOK;226,00;226,00;222,00;224,00;"02/01/2024 11:30";CET;115;25664,00;224,00;02/01/2024
"AUSTEVOLL SEAFOOD";NO0010073489;AUSS;"Oslo Børs";NOK;75,05;75,70;73,65;73,90;"02/01/2024 16:25";CET;223676;16654263,55;73,90;02/01/2024
"AUTOSTORE HOLDINGS";BMG0670A1099;AUTO;"Oslo Børs";NOK;19,56;20,14;19,085;19,305;"02/01/2024 16:25";CET;812073;15716858,37;19,305;02/01/2024
"AVANCE GAS HOLDING";BMG067231032;AGAS;"Oslo Børs";NOK;150,40;155,60;150,40;155,60;"02/01/2024 16:25";CET;150226;23141504,00;155,60;02/01/2024
"AWILCO DRILLING";NO0012785098;AWDR;"Euronext Growth Oslo";NOK;16,50;16,90;16,50;16,90;"02/01/2024 16:25";CET;88114;1496124,73;16,90;02/01/2024
"AWILCO LNG";NO0010607971;ALNG;"Euronext Expand Oslo";NOK;8,29;8,29;8,15;8,22;"02/01/2024 16:25";CET;75699;620639,82;8,22;02/01/2024
AXACTOR;NO0010840515;ACR;"Oslo Børs";NOK;5,11;5,30;5,11;5,20;"02/01/2024 16:25";CET;532505;2781992,31;5,20;02/01/2024
"AYFIE GROUP";NO0012861683;AYFIE;"Euronext Growth Oslo";NOK;5,601;6,767;5,601;5,999;"02/01/2024 16:25";CET;7445;43833,59;5,999;02/01/2024
"B2 Impact";NO0010633951;B2I;"Oslo Børs";NOK;7,20;7,36;7,20;7,25;"02/01/2024 16:26";CET;367587;2684187,25;7,25;02/01/2024
BAKKAFROST;FO0000000179;BAKKA;"Oslo Børs";NOK;532,00;539,00;523,00;524,00;"02/01/2024 16:26";CET;30205;15903606,00;524,00;02/01/2024
"BALTIC SEA PROP";NO0010810476;BALT;"Euronext Growth Oslo";NOK;48,00;48,00;47,40;47,40;"29/12/2023 14:00";CET;517;24517,80;47,40;02/01/2024
"BARRAMUNDI GROUP";SGXZ33675836;BARRA;"Euronext Growth Oslo";NOK;2,50;2,50;2,50;2,50;"16/10/2023 09:00";CET;310;775,00;2,50;02/01/2024
BEERENBERG;NO0013017574;BBERG;"Euronext Growth Oslo";NOK;17,40;17,40;17,35;17,38;"02/01/2024 16:17";CET;1309;22762,10;17,38;02/01/2024
BELSHIPS;NO0003094104;BELCO;"Oslo Børs";NOK;18,78;18,94;18,58;18,88;"02/01/2024 16:25";CET;213945;4027530,22;18,88;02/01/2024
"BENCHMARK HOLDINGS";GB00BGHPT808;BMK;"Euronext Growth Oslo";NOK;5,00;5,50;5,00;5,50;"18/12/2023 12:15";CET;31434;158931,00;5,50;02/01/2024
"BERGEN CARBON SOL";NO0010950249;BCS;"Euronext Growth Oslo";NOK;12,46;12,46;11,08;11,80;"02/01/2024 16:25";CET;116037;1336150,62;11,80;02/01/2024
BERGENBIO;NO0010650013;BGBIO;"Oslo Børs";NOK;0,28;0,313;0,28;0,3015;"02/01/2024 16:26";CET;83974286;25371706,38;0,3015;02/01/2024
"BerGenBio TR";NO0012921495;BGBIS;"Oslo Børs";NOK;0,119;0,1303;0,114;0,1299;"02/01/2024 16:25";CET;11533077;1421642,78;0,1299;02/01/2024
BEWI;NO0010890965;BEWI;"Oslo Børs";NOK;25,50;25,60;24,60;24,80;"02/01/2024 16:25";CET;86706;2169263,90;24,80;02/01/2024
"BIEN SPAREBANK";NO0012706763;BIEN;"Oslo Børs";NOK;86,80;87,20;86,80;87,20;"02/01/2024 13:33";CET;429;37261,20;87,20;02/01/2024
"BIOFISH HOLDING";NO0010955198;BFISH;"Euronext Growth Oslo";NOK;1,40;1,50;1,40;1,44;"02/01/2024 15:37";CET;321288;471214,10;1,44;02/01/2024
"BLACK SEA PROPERTY";NO0010755101;BSP;"Euronext Growth Oslo";NOK;0,366;0,382;0,314;0,382;"02/01/2024 13:29";CET;269;98,00;0,382;02/01/2024
BLUENORD;NO0010379266;BNOR;"Oslo Børs";NOK;497,50;518,00;497,50;516,00;"02/01/2024 16:25";CET;35526;18064857,50;516,00;02/01/2024
BONHEUR;NO0003110603;BONHR;"Oslo Børs";NOK;242,00;245,00;236,00;239,00;"02/01/2024 16:25";CET;26537;6370901,50;239,00;02/01/2024
BORGESTAD;NO0003111700;BOR;"Oslo Børs";NOK;0,334;0,334;0,315;0,324;"02/01/2024 16:25";CET;1508267;485840,18;0,324;02/01/2024
"BORR DRILLING";BMG1466R1732;BORR;"Oslo Børs";NOK;75,50;76,25;74,55;75,70;"02/01/2024 16:25";CET;320291;24175234,10;75,70;02/01/2024
BORREGAARD;NO0010657505;BRG;"Oslo Børs";NOK;171,40;173,00;170,20;171,20;"02/01/2024 16:25";CET;24890;4262809,40;171,20;02/01/2024
BOUVET;NO0010360266;BOUV;"Oslo Børs";NOK;60,60;61,00;59,20;60,00;"02/01/2024 16:25";CET;23962;1439410,80;60,00;02/01/2024
"BW ENERGY LIMITED";BMG0702P1086;BWE;"Oslo Børs";NOK;27,00;27,00;26,90;26,90;"02/01/2024 16:25";CET;265872;7160892,15;26,90;02/01/2024
"BW LPG";BMG173841013;BWLPG;"Oslo Børs";NOK;154,30;159,00;154,30;157,30;"02/01/2024 16:28";CET;308648;48463441,60;157,30;02/01/2024
"BW OFFSHORE LTD";BMG1738J1247;BWO;"Oslo Børs";NOK;22,42;22,78;22,28;22,46;"02/01/2024 16:25";CET;109459;2464219,42;22,46;02/01/2024
BYGGMA;NO0003087603;BMA;"Oslo Børs";NOK;19,35;20,00;19,35;20,00;"02/01/2024 16:25";CET;2377;46955,00;20,00;02/01/2024
CADELER;DK0061412772;CADLR;"Oslo Børs";NOK;47,00;47,70;45,80;46,84;"02/01/2024 16:28";CET;276272;12865463,10;46,84;02/01/2024
CAMBI;NO0010078850;CAMBI;"Euronext Growth Oslo";NOK;18,45;18,45;17,25;17,55;"02/01/2024 16:25";CET;65619;1175041,65;17,55;02/01/2024
"CAPSOL TECHNOLOGI";NO0010923121;CAPSL;"Euronext Growth Oslo";NOK;13,05;13,45;12,95;13,25;"02/01/2024 14:50";CET;11387;148884,35;13,25;02/01/2024
CARASENT;NO0010123060;CARA;"Oslo Børs";NOK;11,00;11,32;11,00;11,20;"02/01/2024 16:25";CET;14078;157717,58;11,20;02/01/2024
"CIRCA GROUP";NO0010917594;CIRCA;"Euronext Growth Oslo";NOK;3,55;3,65;3,51;3,61;"02/01/2024 16:25";CET;80856;288448,23;3,61;02/01/2024
"CIRCIO HOLDING";NO0013033795;CRNA;"Oslo Børs";NOK;7,20;8,10;7,20;7,88;"02/01/2024 16:25";CET;11631;86289,71;7,88;02/01/2024
"CLEAN SEAS SEAFOOD";AU000000CSS3;CSS;"Euronext Growth Oslo";NOK;2,52;2,52;2,52;2,52;"02/01/2024 16:27";CET;7000;17640,00;2,52;02/01/2024
"CLOUDBERRY CLEAN";NO0010876642;CLOUD;"Oslo Børs";NOK;11,54;11,56;10,88;10,88;"02/01/2024 16:28";CET;260238;2914817,70;10,88;02/01/2024
"CODELAB CAPITAL";NO0010895667;CODE;"Euronext Growth Oslo";NOK;0,44;0,47;0,44;0,451;"02/01/2024 15:13";CET;58937;27218,68;0,451;02/01/2024
CONTEXTVISION;SE0014731154;CONTX;"Oslo Børs";NOK;7,98;8,38;7,98;8,30;"02/01/2024 16:25";CET;91277;744882,24;8,30;02/01/2024
"COOL COMPANY";BMG2415A1137;CLCO;"Euronext Growth Oslo";NOK;129,00;132,90;127,50;131,80;"02/01/2024 16:25";CET;134359;17516468,80;131,80;02/01/2024
"CRAYON GROUP HOLD";NO0010808892;CRAYN;"Oslo Børs";NOK;84,00;84,00;80,15;80,20;"02/01/2024 16:29";CET;287143;23434091,40;80,20;02/01/2024
CYVIZ;NO0010015175;CYVIZ;"Euronext Growth Oslo";NOK;40,80;40,80;37,20;38,60;"02/01/2024 14:10";CET;5029;192673,40;38,60;02/01/2024
"DEEP VALUE DRILLER";NO0010955917;DVD;"Euronext Growth Oslo";NOK;24,20;24,40;23,80;24,00;"02/01/2024 16:25";CET;32416;781404,00;24,00;02/01/2024
"DESERT CONTROL";NO0010963275;DSRT;"Euronext Growth Oslo";NOK;8,25;8,25;7,86;8,06;"02/01/2024 16:25";CET;63362;503328,06;8,06;02/01/2024
